time_normalized,blue,orange
0.0000000,0.2263099,0.0178372
0.0008058,0.2274247,0.0250836
0.0016116,0.2341137,0.0256410
0.0024174,0.2413601,0.0323300
0.0032232,0.2424749,0.0323300
0.0040290,0.2575251,0.0323300
0.0048348,0.2731327,0.0323300
0.0056406,0.2742475,0.0323300
0.0064464,0.2814939,0.0323300
0.0072522,0.2887402,0.0323300
0.0080580,0.2908106,0.0323300
0.0088638,0.2928810,0.0323300
0.0096696,0.2949514,0.0323300
0.0104754,0.2970218,0.0323300
0.0112812,0.2990922,0.0323300
0.0120870,0.3011626,0.0323300
0.0128928,0.3032330,0.0323300
0.0136986,0.3021182,0.0323300
0.0145044,0.2948718,0.0328874
0.0153102,0.3182832,0.0484950
0.0161160,0.3422520,0.0607581
0.0169218,0.3422520,0.0646600
0.0177276,0.3422520,0.0646600
0.0185334,0.3422520,0.0646600
0.0193392,0.3422520,0.0646600
0.0201450,0.3344482,0.0646600
0.0209508,0.3344482,0.0646600
0.0217566,0.3266444,0.0646600
0.0225624,0.3266444,0.0646600
0.0233683,0.3338907,0.0646600
0.0241741,0.3338907,0.0646600
0.0249799,0.3411371,0.0719064
0.0257857,0.3411371,0.0791527
0.0265915,0.3411371,0.0791527
0.0273973,0.3489409,0.0791527
0.0282031,0.3494983,0.0791527
0.0290089,0.3573021,0.0791527
0.0298147,0.3628763,0.0791527
0.0306205,0.3639911,0.0791527
0.0314263,0.3701226,0.0791527
0.0322321,0.3701226,0.0869565
0.0330379,0.3701226,0.0875139
0.0338437,0.3701226,0.0947603
0.0346495,0.3701226,0.0947603
0.0354553,0.3701226,0.0947603
0.0362611,0.3773690,0.0947603
0.0370669,0.3784838,0.0947603
0.0378727,0.3846154,0.0947603
0.0386785,0.3846154,0.0947603
0.0394843,0.3851728,0.0947603
0.0402901,0.3851728,0.0947603
0.0410959,0.3846154,0.1031215
0.0419017,0.3846154,0.1036789
0.0427075,0.3857302,0.1109253
0.0435133,0.3918618,0.1109253
0.0443191,0.3996656,0.1109253
0.0451249,0.3996656,0.1109253
0.0459307,0.3996656,0.1176143
0.0467365,0.3996656,0.1181717
0.0475423,0.4063545,0.1254181
0.0483481,0.4069119,0.1254181
0.0491539,0.4136009,0.1254181
0.0499597,0.4136009,0.1254181
0.0507655,0.4136009,0.1254181
0.0515713,0.4136009,0.1254181
0.0523771,0.4208473,0.1254181
0.0531829,0.4208473,0.1254181
0.0539887,0.4280936,0.1254181
0.0547945,0.4280936,0.1254181
0.0556003,0.4280936,0.1254181
0.0564061,0.4280936,0.1254181
0.0572119,0.4280936,0.1254181
0.0580177,0.4364548,0.1254181
0.0588235,0.4409142,0.1254181
0.0596293,0.4442586,0.1254181
0.0604351,0.4442586,0.1309922
0.0612409,0.4442586,0.1332219
0.0620467,0.4442586,0.1410256
0.0628525,0.4442586,0.1410256
0.0636583,0.4442586,0.1410256
0.0644641,0.4442586,0.1410256
0.0652699,0.4509476,0.1410256
0.0660757,0.4515050,0.1410256
0.0668815,0.4581940,0.1410256
0.0676873,,0.1410256
0.0684932,,0.1410256
0.0692990,,0.1410256
0.0701048,,0.1410256
0.0709106,,0.1410256
0.0717164,,0.1410256
0.0725222,,0.1410256
0.0733280,,0.1410256
0.0741338,,0.1410256
0.0749396,,0.1410256
0.0757454,,0.1410256
0.0765512,0.4593088,0.1410256
0.0773570,0.4676700,0.1410256
0.0781628,0.4682274,0.1410256
0.0789686,0.4615385,0.1410256
0.0797744,0.4615385,0.1410256
0.0805802,0.4687848,0.1410256
0.0813860,0.4693423,0.1410256
0.0821918,0.4760312,0.1410256
0.0829976,0.4760312,0.1410256
0.0838034,0.4760312,0.1410256
0.0846092,0.4760312,0.1410256
0.0854150,0.4760312,0.1410256
0.0862208,0.4760312,0.1410256
0.0870266,0.4760312,0.1410256
0.0878324,0.4760312,0.1410256
0.0886382,0.4760312,0.1410256
0.0894440,0.4760312,0.1410256
0.0902498,0.4843924,0.1410256
0.0910556,0.4921962,0.1410256
0.0918614,0.4921962,0.1410256
0.0926672,0.4921962,0.1410256
0.0934730,0.4921962,0.1410256
0.0942788,0.4921962,0.1376812
0.0950846,0.4921962,0.1343367
0.0958904,0.4927536,0.1270903
0.0966962,0.4921962,0.1270903
0.0975020,0.4921962,0.1270903
0.0983078,0.4921962,0.1270903
0.0991136,0.4921962,0.1270903
0.0999194,0.4927536,0.1270903
0.1007252,0.4921962,0.1270903
0.1015310,0.4921962,0.1270903
0.1023368,0.4921962,0.1270903
0.1031426,0.4921962,0.1270903
0.1039484,0.4921962,0.1270903
0.1047542,0.4994426,0.1270903
0.1055600,0.5011148,0.1270903
0.1063658,0.5011148,0.1270903
0.1071716,0.5094760,0.1270903
0.1079774,0.5094760,0.1270903
0.1087832,0.5094760,0.1270903
0.1095890,0.5094760,0.1270903
0.1103948,0.5094760,0.1270903
0.1112006,0.5094760,0.1270903
0.1120064,0.5094760,0.1270903
0.1128122,0.5183946,0.1270903
0.1136180,0.5189521,0.1270903
0.1144239,0.5178372,0.1248606
0.1152297,0.5178372,0.1187291
0.1160355,0.5250836,0.1109253
0.1168413,0.5323300,0.1109253
0.1176471,0.5312152,0.1109253
0.1184529,0.5228540,0.1187291
0.1192587,0.5390190,0.1192865
0.1200645,0.5395764,0.1321070
0.1208703,0.5317726,0.1421405
0.1216761,0.5306577,0.1360089
0.1224819,0.5451505,0.1137124
0.1232877,0.5445931,0.1137124
0.1240935,0.5445931,0.1137124
0.1248993,0.5512821,0.1137124
0.1257051,0.5518395,0.1137124
0.1265109,0.5429208,0.1287625
0.1273167,0.5423634,0.1287625
0.1281225,0.5490524,0.1293200
0.1289283,0.5557414,0.1220736
0.1297341,0.5629877,0.1220736
0.1305399,0.5629877,0.1148272
0.1313457,0.5685619,0.1148272
0.1321515,0.5618729,0.1148272
0.1329573,0.5674470,0.1148272
0.1337631,0.5657748,0.1226310
0.1345689,0.5646600,0.1226310
0.1353747,0.5719064,0.1304348
0.1361805,0.5780379,0.1371237
0.1369863,0.5763657,0.1382386
0.1377921,0.5774805,0.1382386
0.1385979,0.5914158,0.1527313
0.1394037,0.6053512,0.1610925
0.1402095,0.5981048,0.1688963
0.1410153,0.5964326,0.1577480
0.1418211,0.5950390,0.1527313
0.1426269,0.5936455,0.1454849
0.1434327,0.5969900,0.1454849
0.1442385,0.6031215,0.1527313
0.1450443,0.6047938,0.1527313
0.1458501,0.6020067,0.1527313
0.1466559,0.6025641,0.1527313
0.1474617,0.6036789,0.1605351
0.1482675,0.6064660,0.1609067
0.1490733,0.6042363,0.1612783
0.1498791,0.6120401,0.1616499
0.1506849,0.6131550,0.1694537
0.1514907,0.6187291,0.1767001
0.1522965,0.6259755,0.1767001
0.1531023,0.6270903,0.1845039
0.1539081,0.6282051,0.1917503
0.1547139,0.6365663,0.1917503
0.1555197,0.6376812,0.1917503
0.1563255,0.6376812,0.2084727
0.1571313,0.6337793,0.2107023
0.1579371,0.6348941,0.2246377
0.1587429,0.6348941,0.2246377
0.1595488,0.6309922,0.2246377
0.1603546,0.6376812,0.2313266
0.1611604,0.6465998,0.2324415
0.1619662,0.6477146,0.2391304
0.1627720,0.6532887,0.2324415
0.1635778,0.6443701,0.2313266
0.1643836,0.6499443,0.2318841
0.1651894,0.6644370,0.2385730
0.1659952,0.6677815,0.2480491
0.1668010,0.6633222,0.2486065
0.1676068,0.6638796,0.2480491
0.1684126,0.6583055,0.2474916
0.1692184,0.6610925,0.2564103
0.1700242,0.6622074,0.2642140
0.1708300,0.6755853,0.2865106
0.1716358,0.6727982,0.2853958
0.1724416,0.6727982,0.2915273
0.1732474,0.6806020,0.3010033
0.1740532,0.6727982,0.3160535
0.1748590,0.6722408,0.3143813
0.1756648,0.6872910,0.2971014
0.1764706,0.7040134,0.2898551
0.1772764,0.7051282,0.2915273
0.1780822,0.7045708,0.2920847
0.1788880,0.7084727,0.3037904
0.1796938,0.7084727,0.3088071
0.1804996,0.7235229,0.3082497
0.1813054,0.7307692,0.3015608
0.1821112,0.7541806,0.3082497
0.1829170,0.7380156,0.3093645
0.1837228,0.7469342,0.3160535
0.1845286,0.7781494,0.3104794
