time_normalized,blue,orange
0.0000000,0.2050691,0.0460829
0.0006803,0.2050691,0.0455069
0.0013605,0.2050691,0.0455069
0.0020408,0.2050691,0.0455069
0.0027211,0.2050691,0.0455069
0.0034014,0.2050691,0.0455069
0.0040816,0.2050691,0.0455069
0.0047619,0.2050691,0.0455069
0.0054422,0.2050691,0.0455069
0.0061224,0.2050691,0.0455069
0.0068027,0.2050691,0.0455069
0.0074830,0.2114055,0.0455069
0.0081633,0.2119816,0.0455069
0.0088435,0.2183180,0.0455069
0.0095238,0.2183180,0.0455069
0.0102041,0.2183180,0.0455069
0.0108844,0.2183180,0.0455069
0.0115646,0.2246544,0.0455069
0.0122449,0.2309908,0.0455069
0.0129252,0.2315668,0.0455069
0.0136054,0.2315668,0.0455069
0.0142857,0.2315668,0.0455069
0.0149660,0.2390553,0.0455069
0.0156463,0.2459677,0.0455069
0.0163265,0.2459677,0.0455069
0.0170068,0.2523041,0.0455069
0.0176871,0.2603687,0.0518433
0.0183673,0.2741935,0.0587558
0.0190476,0.2741935,0.0587558
0.0197279,0.2741935,0.0587558
0.0204082,0.2741935,0.0587558
0.0210884,0.2741935,0.0587558
0.0217687,0.2741935,0.0587558
0.0224490,0.2741935,0.0587558
0.0231293,0.2741935,0.0587558
0.0238095,0.2741935,0.0587558
0.0244898,0.2741935,0.0587558
0.0251701,0.2741935,0.0587558
0.0258503,0.2741935,0.0587558
0.0265306,0.2741935,0.0587558
0.0272109,0.2805300,0.0650922
0.0278912,0.2862903,0.0708525
0.0285714,0.2862903,0.0708525
0.0292517,0.2862903,0.0708525
0.0299320,0.2862903,0.0708525
0.0306122,0.2862903,0.0708525
0.0312925,0.2862903,0.0708525
0.0319728,0.2862903,0.0708525
0.0326531,0.2862903,0.0708525
0.0333333,0.2932028,0.0708525
0.0340136,0.3006912,0.0708525
0.0346939,0.3012673,0.0708525
0.0353741,0.3012673,0.0708525
0.0360544,0.3012673,0.0708525
0.0367347,0.3076037,0.0777650
0.0374150,0.3289171,0.0910138
0.0380952,0.3398618,0.0979263
0.0387755,0.3444700,0.0979263
0.0394558,0.3444700,0.0979263
0.0401361,0.3444700,0.0979263
0.0408163,0.3444700,0.0979263
0.0414966,0.3444700,0.0979263
0.0421769,0.3444700,0.0979263
0.0428571,0.3444700,0.0979263
0.0435374,0.3444700,0.0979263
0.0442177,0.3444700,0.0979263
0.0448980,0.3444700,0.0979263
0.0455782,0.3444700,0.1002304
0.0462585,0.3289171,0.1048387
0.0469388,0.3202765,0.1111751
0.0476190,0.3197005,0.1111751
0.0482993,0.3260369,0.1111751
0.0489796,0.3260369,0.1111751
0.0496599,0.3260369,0.1111751
0.0503401,0.3260369,0.1111751
0.0510204,0.3260369,0.1175115
0.0517007,0.3260369,0.1180876
0.0523810,0.3266129,0.1250000
0.0530612,0.3398618,0.1313364
0.0537415,0.3461982,0.1376728
0.0544218,0.3329493,0.1382488
0.0551020,0.3312212,0.1382488
0.0557823,0.3387097,0.1382488
0.0564626,0.3456221,0.1382488
0.0571429,0.3461982,0.1382488
0.0578231,0.3536866,0.1382488
0.0585034,0.3600230,0.1382488
0.0591837,0.3738479,0.1382488
0.0598639,0.3738479,0.1445853
0.0605442,0.3876728,0.1445853
0.0612245,0.4009217,0.1509217
0.0619048,0.4009217,0.1514977
0.0625850,0.4066820,0.1509217
0.0632653,0.4084101,0.1514977
0.0639456,0.4095622,0.1509217
0.0646259,0.4089862,0.1509217
0.0653061,0.4147465,0.1514977
0.0659864,0.4222350,0.1578341
0.0666667,0.4228111,0.1584101
0.0673469,0.4285714,0.1647465
0.0680272,0.4274194,0.1647465
0.0687075,0.4279954,0.1647465
0.0693878,0.4366359,0.1716590
0.0700680,0.4487327,0.1722350
0.0707483,0.4625576,0.1791475
0.0714286,0.4567972,0.1791475
